Reference, Value, Footprint, Datasheet,Have on hand,Ordered
U3,VL53L0X,_sensors:VL53L0X,,N,Y
C6,0.1uF,Capacitors_SMD:C_0603,,Y,
C7,4.7uF,Capacitors_SMD:C_0805,,Y,
R9,4K7,Resistors_SMD:R_0603,,Y,
R10,4K7,Resistors_SMD:R_0603,,Y,
U1,STM32F042F6Px,Housings_SSOP:TSSOP-20_4.4x6.5mm_Pitch0.65mm,,N,Y
C3,0.1uF,Capacitors_SMD:C_0603,,Y,
C4,1uF,Capacitors_SMD:C_0603,,Y,
R2,4K7,Resistors_SMD:R_0603,,Y,
C1,0.1uF,Capacitors_SMD:C_0603,,Y,
J3,CONN_02X05,pin_headers_1.27mm:Pin_Header_1.27mm_2x5,,Y,
R1,4K7,Resistors_SMD:R_0603,,Y,
R5,220R,Resistors_SMD:R_0603,,Y,
D1,LED,LEDs:LED_0603,,Y,
R6,220R,Resistors_SMD:R_0603,,Y,
D2,LED,LEDs:LED_0603,,Y,
J2,USB_OTG,Connectors_Molex:USB_Micro-B_Molex_47346-0001,,Y,
R3,22R,Resistors_SMD:R_0603,,Y,
R4,22R,Resistors_SMD:R_0603,,Y,
U2,MIC5504-3.3,TO_SOT_Packages_SMD:SOT-23-5,,N,Y
C2,1uF,Capacitors_SMD:C_0603,,Y,
C5,1uF,Capacitors_SMD:C_0603,,Y,
J1,DFU,Pin_Headers:Pin_Header_Straight_1x02_Pitch1.27mm,,Y,
J4,UART,Pin_Headers:Pin_Header_Straight_1x04_Pitch2.54mm,,Y,
R12,220R,Resistors_SMD:R_0603,,Y,
R11,220R,Resistors_SMD:R_0603,,Y,
R8,4K7,Resistors_SMD:R_0603,,Y,
R7,4K7,Resistors_SMD:R_0603,,Y,
U4,MIC5504-2.8,TO_SOT_Packages_SMD:SOT-23-5,,N,Y
C8,1uF,Capacitors_SMD:C_0603,,Y,
